month,ai_ml,general,total,ai_share_pct,ai_star_share,gen_star_share,star_intensity,repos_ai_ml,repos_general,actors_ai_ml,actors_general,usable,volume_ratio,mix_ratio,reason,quarter
2021-01,13658,2639242,2652900,0.5148328244562554,0.19937,0.057545,3.464592927274307,1541,343967,2338,275105,True,0.7877080839176785,1.3304978806936931,,21Q1
2021-04,16370,3138079,3154449,0.5189495851731951,0.224985,0.051257,4.389351698304622,1608,401022,3163,325152,True,0.9366297175189556,1.2703147063501825,,21Q2
2021-07,14477,2918460,2932937,0.4936007831058083,0.18443,0.051431,3.585969551437849,1526,367493,2293,292031,True,0.8708576216673318,1.2779528556076882,,21Q3
2021-10,4538,1073601,1078139,0.42091047629294553,0.18885,0.051649,3.6564115471741947,857,223972,832,181409,False,0.3201246959504399,1.0340760932455397,missing hours in sampled day,21Q4
2022-01,18013,2856292,2874305,0.6266906260817833,0.105979,0.04619,2.294414375405932,1110,404370,1514,234360,True,0.8534484089656614,1.3066636885309142,,22Q1
2022-04,22809,3109461,3132270,0.7281939296420806,0.120391,0.055044,2.1871775307027104,1386,394418,2273,300234,True,0.9300442534633145,1.1653066317021759,,22Q2
2022-07,22950,3344922,3367872,0.6814391995895331,0.097473,0.046046,2.1168613994700953,1432,408513,1839,306889,True,1.0,1.1620301373129684,,22Q3
2022-10,23039,3224721,3247760,0.7093812350666305,0.146143,0.040344,3.6224221693436447,1496,405955,2816,272772,True,0.9643359367576915,0.8043492814535316,,22Q4
2023-01,26052,3129657,3155709,0.8255514054052513,0.179218,0.049007,3.65698777725631,1944,397335,3734,273653,True,0.9370038410010831,0.8383637364019937,,23Q1
2023-04,70683,3051450,3122133,2.263933022712357,0.349929,0.052915,6.613039780780497,5788,421653,19977,295918,True,0.9270343409725785,0.9204598392019455,,23Q2
2023-07,36077,2840586,2876663,1.2541267433828711,0.186878,0.051755,3.6108202106076703,7283,388044,5399,262309,True,0.8541485543393573,0.9391473328446438,,23Q3
2023-10,26143,3121006,3147149,0.8306883468180248,0.24366,0.044601,5.463106208380977,2976,445126,5230,307379,True,0.9344621767098037,0.8899925252695259,,23Q4
2024-01,43517,5484784,5528301,0.7871677030610309,0.195188,0.035362,5.519710423618574,4209,566299,7121,397857,True,1.6414819209281113,0.8746952180698268,,24Q1
2024-04,59552,5390697,5450249,1.0926473267551629,0.171212,0.039629,4.320371445153802,10678,642792,8479,463017,True,1.6183064558273,1.030231563162081,,24Q2
2024-07,46573,4868178,4914751,0.9476166747816929,0.174651,0.044093,3.9609688612704965,4775,605913,6928,410242,True,1.4593045697698726,1.078516348204721,,24Q3
2024-10,46190,5332496,5378686,0.8587599276105725,0.226478,0.03701,6.119373142393948,5259,675762,9056,475931,True,1.5970577266594455,1.1739240891453264,,24Q4
2025-01,43077,5264530,5307607,0.811608696725285,0.199805,0.038545,5.183681411337398,5347,664894,7230,448459,True,1.575952708416472,0.9604956335985045,,25Q1
2025-04,51875,5582477,5634352,0.9206915009924832,0.17868,0.037502,4.764545890885819,6395,760941,8105,528390,True,1.6729709442639151,0.9477047801593896,,25Q2
2025-07,43402,3766790,3810192,1.139102701386177,0.109189,0.044528,2.4521424721523535,8085,622623,4692,422639,True,1.1313351576306938,1.0416980793138215,,25Q3
2025-10,31758,3434167,3465925,0.9162921875112704,0.108414,0.025522,4.247864587414779,5461,637009,4783,445314,True,1.029114229994489,0.8738697256377106,,25Q4
2026-01,32140,3386909,3419049,0.9400274754763679,0.090324,0.030261,2.9848319619311985,5571,642319,4811,436921,True,1.0151956487657487,1.0,,26Q1
2026-04,32769,3706333,3739102,0.8763868971747761,0.042601,0.012471,3.4160051319060223,8020,838570,6924,609356,False,1.1102268732303366,0.48693853844238777,upstream archive dropped interaction events,26Q2
2026-07,22381,3926284,3948665,0.5667991587030047,0.004647,0.000607,7.655683690280066,6879,740996,5569,498284,False,1.1724510313931171,0.03136850101408508,upstream archive dropped interaction events,26Q3
